Западная ул., 308 кв. 459, Новосибирск, Россия, 844397
Космонавтов площадь, 739 кв. 823, Омск, Россия, 326741
ул. Свердлова, 452 кв. 169, Волгоград, Россия, 832768
Нагорная пр., 792 кв. 105, Сочи, Россия, 573893
Советская ул., 255 кв. 804, Челябинск, Россия, 895801
пл. Новая, 164 кв. 989, Нижний Новгород, Россия, 854235
площадь Лесная, 187 кв. 118, Иркутск, Россия, 462709
8 Марта ул., 517 кв. 311, Иваново, Россия, 944767
улица Мира, 731 кв. 461, Екатеринбург, Россия, 758921
Больничная улица, 751 кв. 928, Барнаул, Россия, 332904
Озерная проспект, 980 кв. 562, Ижевск, Россия, 468843
площадь Карла Маркса, 491 кв. 466, Тверь, Россия, 223412
улица Космонавтов, 863 кв. 880, Томск, Россия, 305433
Заводская улица, 329 кв. 415, Томск, Россия, 451193
ул. Энергетиков, 177 кв. 982, Курск, Россия, 872456
Коммунистическая ул., 951 кв. 493, Омск, Россия, 870145
улица Трактовая, 687 кв. 774, Воронеж, Россия, 693163
улица Калинина, 709 кв. 774, Барнаул, Россия, 447205
Подгорная площадь, 585 кв. 971, Томск, Россия, 476815
ул. Шоссейная, 834 кв. 873, Курск, Россия, 518988
улица Степная, 849 кв. 589, Тула, Россия, 967039
Победы пл., 524 кв. 361, Томск, Россия, 947253
Красноармейская пл., 544 кв. 396, Магнитогорск, Россия, 346818
Ломоносова проспект, 746 кв. 218, Томск, Россия, 892431
площадь Маяковского, 929 кв. 398, Владивосток, Россия, 126776
проспект Лермонтова, 502 кв. 760, Саратов, Россия, 423051
Комсомольская пр., 190 кв. 347, Пермь, Россия, 616336
Набережная ул., 966 кв. 475, Тверь, Россия, 585984
проспект Березовая, 193 кв. 347, Екатеринбург, Россия, 106957
ул. Коммунальная, 578 кв. 172, Брянск, Россия, 249781
Майская пр., 178 кв. 496, Иркутск, Россия, 340533
Горная ул., 253 кв. 684, Пермь, Россия, 664583
пр. Красная, 573 кв. 250, Москва, Россия, 369371
Свободы пл., 483 кв. 947, Иркутск, Россия, 856289
пл. Юбилейная, 723 кв. 740, Уфа, Россия, 442301
Молодежная проспект, 396 кв. 753, Курск, Россия, 418129
пр. Шевченко, 629 кв. 717, Барнаул, Россия, 159688
Свердлова пл., 440 кв. 221, Тверь, Россия, 459502
ул. Космонавтов, 336 кв. 140, Ульяновск, Россия, 236566
Клубная пр., 299 кв. 252, Красноярск, Россия, 678413
площадь Комарова, 921 кв. 977, Казань, Россия, 585403
Чапаева проспект, 232 кв. 695, Волгоград, Россия, 301339
Чапаева пл., 676 кв. 284, Краснодар, Россия, 142361
Механизаторов ул., 401 кв. 342, Владимир, Россия, 109234
улица Строительная, 600 кв. 366, Брянск, Россия, 514172
Западная площадь, 322 кв. 776, Уфа, Россия, 942747
Горная пр., 238 кв. 870, Липецк, Россия, 743370
Карла Маркса ул., 856 кв. 613, Брянск, Россия, 118996
пр. Карла Маркса, 160 кв. 497, Тула, Россия, 568533
Береговая проспект, 538 кв. 285, Пермь, Россия, 955947
Маяковского площадь, 846 кв. 970, Нижний Новгород, Россия, 405649
